provincia,total_heladas,temperatura_promedio_heladas,temperatura_minima
Azangaro,67162,-2.3792850266690704,-11.375092
Carabaya,918415,-2.3664178470309785,-18.65422
Chucuito,668985,-2.668354688938884,-20.66507
El Collao,356803,-3.3019841444488427,-23.124008
Huancane,38491,-1.926491056193951,-9.663666
Lampa,689324,-2.3594225139246836,-16.597015
Melgar,1084275,-2.5406364961157726,-20.887177
Moho,125241,-1.7881222280768254,-13.826752
Puno,490783,-2.3310937193401196,-22.321152
San Antonio de Putina,200610,-2.2747312908048873,-12.763763
San Roman,16903,-1.724298035237308,-11.388275
Sandia,116304,-1.826229562916133,-14.627045
Yunguyo,757838,-2.1444040243650724,-20.200638
